,state,participation_act,composite,participation_sat,erw,math,total,act_free,sat_free,act_required,sat_required
0,Alabama,1.0,18.9,0.05,593,572,1165,1,0,1,0
1,Alaska,0.38,20.1,0.38,547,533,1080,0,0,0,0
2,Arizona,0.73,19.0,0.3,563,553,1116,0,1,0,0
3,Arkansas,1.0,19.3,0.03,614,594,1208,1,0,0,0
4,California,0.23,22.6,0.53,531,524,1055,0,0,0,0
5,Colorado,0.27,23.8,0.11,606,595,1201,1,1,0,1
6,Connecticut,0.22,25.5,1.0,530,512,1041,0,1,0,1
7,Delaware,0.13,24.1,1.0,503,492,996,0,1,0,1
8,District of Columbia,0.32,23.5,1.0,482,468,950,0,1,0,1
9,Florida,0.54,20.1,0.83,520,497,1017,0,1,0,0
10,Georgia,0.49,21.4,0.61,535,515,1050,0,0,0,0
11,Hawaii,0.8,19.0,0.55,544,541,1085,1,0,1,0
12,Idaho,0.31,22.5,0.93,513,493,1005,0,1,0,1
13,Illinois,0.35,24.3,0.09,559,556,1115,0,1,0,1
14,Indiana,0.29,22.5,0.63,542,532,1074,0,0,0,0
15,Iowa,0.66,21.6,0.02,641,635,1275,0,0,0,0
16,Kansas,0.72,21.2,0.04,632,628,1260,0,0,0,0
17,Kentucky,1.0,19.8,0.04,631,616,1247,1,0,1,0
18,Louisiana,1.0,18.8,0.04,611,586,1198,1,0,1,0
19,Maine,0.06,24.3,0.95,513,499,1012,0,1,0,1
20,Maryland,0.28,22.3,0.69,536,524,1060,0,1,0,0
21,Massachusetts,0.21,25.5,0.76,555,551,1107,0,0,0,0
22,Michigan,0.19,24.4,1.0,509,495,1005,0,1,0,1
23,Minnesota,0.95,21.4,0.03,644,651,1295,0,1,0,0
24,Mississippi,1.0,18.4,0.02,634,607,1242,1,0,1,0
25,Missouri,0.82,20.8,0.03,640,631,1271,1,0,0,0
26,Montana,1.0,19.8,0.1,605,591,1196,1,0,1,0
27,Nebraska,1.0,20.0,0.03,629,625,1253,0,0,1,0
28,Nevada,1.0,17.9,0.26,563,553,1116,1,0,1,0
29,New Hampshire,0.14,25.0,0.96,532,520,1052,0,1,0,1
30,New Jersey,0.25,24.2,0.7,530,526,1056,0,0,0,0
31,New Mexico,0.63,19.3,0.11,577,561,1138,0,0,0,0
32,New York,0.22,24.5,0.67,528,523,1052,0,1,0,0
33,North Carolina,1.0,19.0,0.49,546,535,1081,1,0,1,0
34,North Dakota,0.96,19.9,0.02,635,621,1256,0,0,0,0
35,Ohio,1.0,20.0,0.12,578,570,1149,0,0,0,1
36,Oklahoma,1.0,18.9,0.07,530,517,1047,1,0,0,1
37,Oregon,0.42,21.1,0.43,560,548,1108,0,0,0,0
38,Pennsylvania,0.17,23.6,0.65,540,531,1071,0,0,0,0
39,Rhode Island,0.12,24.7,0.71,539,524,1062,0,1,0,1
40,South Carolina,0.78,18.8,0.5,543,521,1064,1,0,0,1
41,South Dakota,0.75,21.6,0.03,612,603,1216,0,0,0,0
42,Tennessee,1.0,19.4,0.05,623,604,1228,0,1,0,1
43,Texas,0.39,20.5,0.62,513,507,1020,0,1,0,0
44,Utah,1.0,20.3,0.03,624,614,1238,1,0,1,0
45,Vermont,0.2,24.1,0.6,562,551,1114,0,0,0,0
46,Virginia,0.21,24.0,0.65,561,541,1102,0,0,0,0
47,Washington,0.24,22.1,0.64,541,534,1075,0,0,0,0
48,West Virginia,0.49,20.8,0.14,558,528,1086,0,0,0,1
49,Wisconsin,1.0,20.3,0.03,642,649,1291,1,0,1,0
50,Wyoming,1.0,19.8,0.03,626,604,1230,1,0,1,0
